"WTSPO2YR.Code.or.Value","WTSPO2YR.Value.Description","WTSPO2YR.Count","WTSPO2YR.Cumulative","WTSPO2YR.Skip.to.Item"
"0 to 846810.73623","Range of Values",2274,2274,NA
".","Missing",0,2274,NA
