"PUQ100.Code.or.Value","PUQ100.Value.Description","PUQ100.Count","PUQ100.Cumulative","PUQ100.Skip.to.Item"
"1","Yes",833,833,NA
"2","No",6728,7561,NA
"7","Refused",0,7561,NA
"9","Don't know",64,7625,NA
".","Missing",507,8132,NA
