"BAQ080D.Code.or.Value","BAQ080D.Value.Description","BAQ080D.Count","BAQ080D.Cumulative","BAQ080D.Skip.to.Item"
"1","Yes",45,45,NA
"2","No",369,414,NA
"7","Refused",0,414,NA
"9","Don't know",1,415,NA
".","Missing",3071,3486,NA
