"DRD370SQ.Code.or.Value","DRD370SQ.Value.Description","DRD370SQ.Count","DRD370SQ.Cumulative","DRD370SQ.Skip.to.Item"
"1 to 4","Range of Values",52,52,NA
".","Missing",9492,9544,NA
