"DXXOSBCC.Code.or.Value","DXXOSBCC.Value.Description","DXXOSBCC.Count","DXXOSBCC.Cumulative","DXXOSBCC.Skip.to.Item"
"0","Valid data",5679,5679,NA
"1","Invalid data",1522,7201,NA
".","Missing",984,8185,NA
