"DXXPT12X.Code.or.Value","DXXPT12X.Value.Description","DXXPT12X.Count","DXXPT12X.Cumulative","DXXPT12X.Skip.to.Item"
"723.2 to 1261.6","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
