"URXMHH.Code.or.Value","URXMHH.Value.Description","URXMHH.Count","URXMHH.Cumulative","URXMHH.Skip.to.Item"
"0.28 to 559.9","Range of Values",2975,2975,NA
".","Missing",230,3205,NA
