"MGXH1T2E.Code.or.Value","MGXH1T2E.Value.Description","MGXH1T2E.Count","MGXH1T2E.Cumulative","MGXH1T2E.Skip.to.Item"
"1","Maximal",7050,7050,NA
"2","Questionable",111,7161,NA
".","Missing",660,7821,NA
