"LBDGTCLC.Code.or.Value","LBDGTCLC.Value.Description","LBDGTCLC.Count","LBDGTCLC.Cumulative","LBDGTCLC.Skip.to.Item"
"0","At or above the detection limit",6731,6731,NA
"1","Below lower detection limit",0,6731,NA
".","Missing",704,7435,NA
