"BMXSUB.Code.or.Value","BMXSUB.Value.Description","BMXSUB.Count","BMXSUB.Cumulative","BMXSUB.Skip.to.Item"
"2.2 to 42.2","Range of Values",7950,7950,NA
".","Missing",1332,9282,NA
