"DR2IP204.Code.or.Value","DR2IP204.Value.Description","DR2IP204.Count","DR2IP204.Cumulative","DR2IP204.Skip.to.Item"
"0 to 1.257","Range of Values",120673,120673,NA
".","Missing",668,121341,NA
