"DRD370NQ.Code.or.Value","DRD370NQ.Value.Description","DRD370NQ.Count","DRD370NQ.Cumulative","DRD370NQ.Skip.to.Item"
"1 to 16","Range of Values",220,220,NA
".","Missing",9324,9544,NA
