"DXASPNK.Code.or.Value","DXASPNK.Value.Description","DXASPNK.Count","DXASPNK.Cumulative","DXASPNK.Skip.to.Item"
"1.1084 to 1.1585","Range of Values",7199,7199,NA
".","Missing",986,8185,NA
