"OHD13LAM.Code.or.Value","OHD13LAM.Value.Description","OHD13LAM.Count","OHD13LAM.Cumulative","OHD13LAM.Skip.to.Item"
"0 to 9","Range of Values",2345,2345,NA
"99","Calculation cannot be determined",446,2791,NA
".","Missing",4339,7130,NA
