"URXMZP.Code.or.Value","URXMZP.Value.Description","URXMZP.Count","URXMZP.Cumulative","URXMZP.Skip.to.Item"
"0.15 to 617.18","Range of Values",2749,2749,NA
".","Missing",70,2819,NA
