"DS1TMAGN.Code.or.Value","DS1TMAGN.Value.Description","DS1TMAGN.Count","DS1TMAGN.Cumulative","DS1TMAGN.Skip.to.Item"
"0.3 to 2000","Range of Values",1523,1523,NA
".","Missing",8239,9762,NA
