"MCD093.Code.or.Value","MCD093.Value.Description","MCD093.Count","MCD093.Cumulative","MCD093.Skip.to.Item"
"1","Before 1972",157,157,NA
"2","1972 - 1991",227,384,NA
"3","1992 to present",411,795,NA
"7","Refused",0,795,NA
"9","Don't know",19,814,NA
".","Missing",9295,10109,NA
