"FSDAD.Code.or.Value","FSDAD.Value.Description","FSDAD.Count","FSDAD.Cumulative","FSDAD.Skip.to.Item"
"1","AD full food security: 0",6725,6725,NA
"2","AD marginal food security: 1-2",1242,7967,NA
"3","AD low food security: 3-5",1269,9236,NA
"4","AD very low food security: 6-10",817,10053,NA
".","Missing",122,10175,NA
