"DSQTFA.Code.or.Value","DSQTFA.Value.Description","DSQTFA.Count","DSQTFA.Cumulative","DSQTFA.Skip.to.Item"
"1 to 16000","Range of Values",2335,2335,NA
".","Missing",6919,9254,NA
