"URDMHHLC.Code.or.Value","URDMHHLC.Value.Description","URDMHHLC.Count","URDMHHLC.Cumulative","URDMHHLC.Skip.to.Item"
"0","At or above the detection limit",2666,2666,NA
"1","Below lower detection limit",19,2685,NA
".","Missing",92,2777,NA
