"LBCF10LA.Code.or.Value","LBCF10LA.Value.Description","LBCF10LA.Count","LBCF10LA.Cumulative","LBCF10LA.Skip.to.Item"
"0.495 to 13.7","Range of Values",246,246,NA
".","Missing",18,264,NA
