"DR1TATOC.Code.or.Value","DR1TATOC.Value.Description","DR1TATOC.Count","DR1TATOC.Cumulative","DR1TATOC.Skip.to.Item"
"0 to 112.33","Range of Values",8327,8327,NA
".","Missing",1217,9544,NA
