"WTSCI2YR.Code.or.Value","WTSCI2YR.Value.Description","WTSCI2YR.Count","WTSCI2YR.Cumulative","WTSCI2YR.Skip.to.Item"
"2594.9999622 to 453821.755","Range of Values",727,727,NA
".","Missing",51,778,NA
