"DXXOSBMC.Code.or.Value","DXXOSBMC.Value.Description","DXXOSBMC.Count","DXXOSBMC.Cumulative","DXXOSBMC.Skip.to.Item"
"12.96 to 130.11","Range of Values",5843,5843,NA
".","Missing",1877,7720,NA
