"DR1TCOPP.Code.or.Value","DR1TCOPP.Value.Description","DR1TCOPP.Count","DR1TCOPP.Cumulative","DR1TCOPP.Skip.to.Item"
"0 to 53.899","Range of Values",8894,8894,NA
".","Missing",749,9643,NA
