"OPDULARM.Code.or.Value","OPDULARM.Value.Description","OPDULARM.Count","OPDULARM.Cumulative","OPDULARM.Skip.to.Item"
"0","No",3196,3196,NA
"1","Yes",28,3224,NA
".","Missing",639,3863,NA
