"DUQ240.Code.or.Value","DUQ240.Value.Description","DUQ240.Count","DUQ240.Cumulative","DUQ240.Skip.to.Item"
"1","Yes",671,671,""
"2","No",3473,4144,"DUQ370"
"7","Refused",4,4148,"DUQ370"
"9","Don't know",5,4153,"DUQ370"
".","Missing",419,4572,""
