"OHQ070Q.Code.or.Value","OHQ070Q.Value.Description","OHQ070Q.Count","OHQ070Q.Cumulative","OHQ070Q.Skip.to.Item"
"1 to 60","Range of Values",5233,5233,NA
"77777","Refused",0,5233,NA
"99999","Don't know",40,5273,NA
".","Missing",3957,9230,NA
