"MGXH1T2.Code.or.Value","MGXH1T2.Value.Description","MGXH1T2.Count","MGXH1T2.Cumulative","MGXH1T2.Skip.to.Item"
"5.2 to 83.7","Range of Values",7161,7161,NA
".","Missing",660,7821,NA
