"WHD020.Code.or.Value","WHD020.Value.Description","WHD020.Count","WHD020.Cumulative","WHD020.Skip.to.Item"
"80 to 400","Range of Values",6116,6116,NA
"7777","Refused",2,6118,NA
"9999","Don't know",48,6166,NA
".","Missing",47,6213,NA
