"DS1IIRON.Code.or.Value","DS1IIRON.Value.Description","DS1IIRON.Count","DS1IIRON.Cumulative","DS1IIRON.Skip.to.Item"
"0.0004 to 195","Range of Values",853,853,NA
".","Missing",4517,5370,NA
