"SSTOXM.Code.or.Value","SSTOXM.Value.Description","SSTOXM.Count","SSTOXM.Cumulative","SSTOXM.Skip.to.Item"
"0 to 8.1","Range of Values",5975,5975,NA
".","Missing",124,6099,NA
