"AUXU3KR.Code.or.Value","AUXU3KR.Value.Description","AUXU3KR.Count","AUXU3KR.Cumulative","AUXU3KR.Skip.to.Item"
"-10 to 115","Range of Values",2729,2729,NA
"666","No response",3,2732,NA
"888","Could not obtain",13,2745,NA
".","Missing",289,3034,NA
