"PAXMYM.Code.or.Value","PAXMYM.Value.Description","PAXMYM.Count","PAXMYM.Cumulative","PAXMYM.Skip.to.Item"
"0 to 936.049","Range of Values",88221604,88221604,NA
"-0.01","Value could not be computed",1875,88223479,NA
".","Missing",0,88223479,NA
