"URXMNP.Code.or.Value","URXMNP.Value.Description","URXMNP.Count","URXMNP.Cumulative","URXMNP.Skip.to.Item"
"0.64 to 875.4","Range of Values",2975,2975,NA
".","Missing",230,3205,NA
