"DR2TMOIS.Code.or.Value","DR2TMOIS.Value.Description","DR2TMOIS.Count","DR2TMOIS.Cumulative","DR2TMOIS.Skip.to.Item"
"0 to 15829.6","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
