"DR1TVC.Code.or.Value","DR1TVC.Value.Description","DR1TVC.Count","DR1TVC.Cumulative","DR1TVC.Skip.to.Item"
"0 to 1010.3","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
