"BPQ100D.Code.or.Value","BPQ100D.Value.Description","BPQ100D.Count","BPQ100D.Cumulative","BPQ100D.Skip.to.Item"
"1","Yes",1136,1136,NA
"2","No",198,1334,NA
"7","Refused",0,1334,NA
"9","Don't know",1,1335,NA
".","Missing",5554,6889,NA
