"DS1ILZ.Code.or.Value","DS1ILZ.Value.Description","DS1ILZ.Count","DS1ILZ.Cumulative","DS1ILZ.Skip.to.Item"
"5 to 95475","Range of Values",389,389,NA
".","Missing",4981,5370,NA
