"MSDPFANG.Code.or.Value","MSDPFANG.Value.Description","MSDPFANG.Count","MSDPFANG.Cumulative","MSDPFANG.Skip.to.Item"
"89.5 to 150.5","Range of Values",1500,1500,NA
".","Missing",656,2156,NA
