"LBXSTB.Code.or.Value","LBXSTB.Value.Description","LBXSTB.Count","LBXSTB.Cumulative","LBXSTB.Skip.to.Item"
"0.1 to 12.9","Range of Values",6487,6487,NA
".","Missing",503,6990,NA
