"GTDDR1MN.Code.or.Value","GTDDR1MN.Value.Description","GTDDR1MN.Count","GTDDR1MN.Cumulative","GTDDR1MN.Skip.to.Item"
"0 to 102","Range of Values",2638,2638,NA
".","Missing",525,3163,NA
