"DXXLABMD.Code.or.Value","DXXLABMD.Value.Description","DXXLABMD.Count","DXXLABMD.Cumulative","DXXLABMD.Skip.to.Item"
"0.34 to 1.361","Range of Values",4977,4977,NA
".","Missing",803,5780,NA
