"RFXC137.Code.or.Value","RFXC137.Value.Description","RFXC137.Count","RFXC137.Cumulative","RFXC137.Skip.to.Item"
"-3.775 to 6.644","Range of Values",51053,51053,NA
".","Missing",23,51076,NA
