"LBXP2.Code.or.Value","LBXP2.Value.Description","LBXP2.Count","LBXP2.Cumulative","LBXP2.Skip.to.Item"
"0.04 to 5.18","Range of Values",1630,1630,NA
".","Missing",262,1892,NA
