"URXUMS.Code.or.Value","URXUMS.Value.Description","URXUMS.Count","URXUMS.Cumulative","URXUMS.Skip.to.Item"
"0.21 to 9730","Range of Values",8280,8280,NA
".","Missing",328,8608,NA
