"URDUHGLC.Code.or.Value","URDUHGLC.Value.Description","URDUHGLC.Count","URDUHGLC.Cumulative","URDUHGLC.Skip.to.Item"
"0","At or above the detection limit",2415,2415,NA
"1","Below lower detection limit",92,2507,NA
".","Missing",87,2594,NA
