"SMD100CO.Code.or.Value","SMD100CO.Value.Description","SMD100CO.Count","SMD100CO.Cumulative","SMD100CO.Skip.to.Item"
"1 to 20","Range of Values",952,952,NA
".","Missing",6234,7186,NA
