"DR1IATOA.Code.or.Value","DR1IATOA.Value.Description","DR1IATOA.Count","DR1IATOA.Cumulative","DR1IATOA.Skip.to.Item"
"0 to 53.99","Range of Values",145826,145826,NA
".","Missing",1114,146940,NA
