"RHQ576Q.Code.or.Value","RHQ576Q.Value.Description","RHQ576Q.Count","RHQ576Q.Cumulative","RHQ576Q.Skip.to.Item"
"1 to 19","Range of Values",109,109,NA
"77","Refused",0,109,NA
"99","Don't know",0,109,NA
".","Missing",3375,3484,NA
