"DS2TLYCO.Code.or.Value","DS2TLYCO.Value.Description","DS2TLYCO.Count","DS2TLYCO.Cumulative","DS2TLYCO.Skip.to.Item"
"75 to 15000","Range of Values",391,391,NA
".","Missing",9153,9544,NA
