"DSQTFIBE.Code.or.Value","DSQTFIBE.Value.Description","DSQTFIBE.Count","DSQTFIBE.Cumulative","DSQTFIBE.Skip.to.Item"
"0.04 to 26","Range of Values",148,148,NA
".","Missing",9106,9254,NA
