"LBDPL1LC.Code.or.Value","LBDPL1LC.Value.Description","LBDPL1LC.Count","LBDPL1LC.Cumulative","LBDPL1LC.Skip.to.Item"
"0","At or above the detection limit",4348,4348,NA
"1","Below lower detection limit",0,4348,NA
".","Missing",1295,5643,NA
