"MCQ240k.Code.or.Value","MCQ240k.Value.Description","MCQ240k.Count","MCQ240k.Cumulative","MCQ240k.Skip.to.Item"
"43 to 74","Range of Values",6,6,NA
"80","80 years or older",0,6,NA
"77777","Refused",0,6,NA
"99999","Don't know",0,6,NA
".","Missing",9358,9364,NA
