"BIXS100K.Code.or.Value","BIXS100K.Value.Description","BIXS100K.Count","BIXS100K.Cumulative","BIXS100K.Skip.to.Item"
"150.82 to 932.78","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
