"DRD370CQ.Code.or.Value","DRD370CQ.Value.Description","DRD370CQ.Count","DRD370CQ.Cumulative","DRD370CQ.Skip.to.Item"
"1 to 10","Range of Values",139,139,NA
".","Missing",10114,10253,NA
