"AUXR6KR.Code.or.Value","AUXR6KR.Value.Description","AUXR6KR.Count","AUXR6KR.Cumulative","AUXR6KR.Skip.to.Item"
"45 to 85","Range of Values",12,12,NA
"666","No response",2,14,NA
"888","Could not obtain",0,14,NA
".","Missing",1875,1889,NA
