"WBXP031.Code.or.Value","WBXP031.Value.Description","WBXP031.Count","WBXP031.Cumulative","WBXP031.Skip.to.Item"
"-63.4306 to 160.4155","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
