"DXXL4A.Code.or.Value","DXXL4A.Value.Description","DXXL4A.Count","DXXL4A.Cumulative","DXXL4A.Skip.to.Item"
"8.06 to 25.99","Range of Values",6037,6037,NA
".","Missing",1683,7720,NA
