"URDCB3LC.Code.or.Value","URDCB3LC.Value.Description","URDCB3LC.Count","URDCB3LC.Cumulative","URDCB3LC.Skip.to.Item"
"0","detectable result",27,27,NA
"1","below detectable limit",3021,3048,NA
".","Missing",104,3152,NA
