"LEXLABPI.Code.or.Value","LEXLABPI.Value.Description","LEXLABPI.Count","LEXLABPI.Cumulative","LEXLABPI.Skip.to.Item"
"0.29 to 1.66","Range of Values",2604,2604,NA
".","Missing",580,3184,NA
