"DS1TSUGR.Code.or.Value","DS1TSUGR.Value.Description","DS1TSUGR.Count","DS1TSUGR.Cumulative","DS1TSUGR.Skip.to.Item"
"0 to 36","Range of Values",483,483,NA
".","Missing",9279,9762,NA
