"LBCBR3LA.Code.or.Value","LBCBR3LA.Value.Description","LBCBR3LA.Count","LBCBR3LA.Cumulative","LBCBR3LA.Skip.to.Item"
"4.114 to 114.5","Range of Values",251,251,NA
".","Missing",0,251,NA
