"HCQ230.Code.or.Value","HCQ230.Value.Description","HCQ230.Count","HCQ230.Cumulative","HCQ230.Skip.to.Item"
"1","True",21,21,NA
"2","False",3,24,NA
"7","Refused",1,25,NA
"9","Don't know",15,40,NA
".","Missing",47,87,NA
